"Date","Quotes","TV_advert","Lag1_TV","Lag2_TV","Lag3_TV"
15341,12.97065,7.212725,NA,NA,NA
15372,15.38714,9.44357,7.212725,NA,NA
15400,13.22957,7.53425,9.44357,7.212725,NA
15431,12.97065,7.212725,7.53425,9.44357,7.212725
15461,15.38714,9.44357,7.212725,7.53425,9.44357
15492,11.72288,6.415215,9.44357,7.212725,7.53425
15522,10.06177,5.80699,6.415215,9.44357,7.212725
15553,10.82279,6.2036,5.80699,6.415215,9.44357
15584,13.28707,7.58643,6.2036,5.80699,6.415215
15614,14.57832,8.004935,7.58643,6.2036,5.80699
15645,15.60542,8.83498,8.004935,7.58643,6.2036
15675,15.93515,8.957255,8.83498,8.004935,7.58643
15706,16.99486,9.53299,8.957255,8.83498,8.004935
15737,16.87821,9.39295,9.53299,8.957255,8.83498
15765,16.45128,8.91856,9.39295,9.53299,8.957255
15796,15.28118,8.37412,8.91856,9.39295,9.53299
15826,15.88901,9.844505,8.37412,8.91856,9.39295
15857,15.67747,9.84939,9.844505,8.37412,8.91856
15887,13.2878,8.40273,9.84939,9.844505,8.37412
15918,12.64484,7.920675,8.40273,9.84939,9.844505
15949,11.82771,7.436085,7.920675,8.40273,9.84939
15979,9.69184,6.34049,7.436085,7.920675,8.40273
16010,10.30415,6.939995,6.34049,7.436085,7.920675
16040,11.38253,6.9771,6.939995,6.34049,7.436085
16071,12.95149,8.010201,6.9771,6.939995,6.34049
16102,13.63092,9.56546,8.010201,6.9771,6.939995
16131,9.12098,6.27251,9.56546,8.010201,6.9771
16162,8.39468,5.707495,6.27251,9.56546,8.010201
16192,12.30076,7.96354,5.707495,6.27251,9.56546
16223,13.84831,8.494221,7.96354,5.707495,6.27251
16253,15.96246,9.789085,8.494221,7.96354,5.707495
16284,14.19738,8.692825,9.789085,8.494221,7.96354
16315,12.85922,8.05723,8.692825,9.789085,8.494221
16345,12.08837,7.588995,8.05723,8.692825,9.789085
16376,12.93375,8.244881,7.588995,8.05723,8.692825
16406,11.72235,6.67554,8.244881,7.588995,8.05723
16437,15.47126,9.219604,6.67554,8.244881,7.588995
16468,18.43898,10.9638,9.219604,6.67554,8.244881
16496,17.49186,10.45629,10.9638,9.219604,6.67554
16527,14.49168,8.7286,10.45629,10.9638,9.219604
