Date,Hurricanes,MinVMax,MaxVMax,MeanVMax,Year
1851,3,80,100,86.7,1851
1852,5,70,100,82.0,1852
1853,4,70,130,97.5,1853
1854,3,70,110,90.0,1854
1855,4,70,110,90.0,1855
1856,4,70,130,92.5,1856
1857,3,70,90,83.3,1857
1858,6,70,90,80.0,1858
1859,7,70,110,87.1,1859
1860,6,70,110,90.0,1860
1861,6,70,90,78.3,1861
1862,3,70,90,83.3,1862
1863,5,70,90,86.0,1863
1864,3,70,70,70.0,1864
1865,3,70,90,83.3,1865
1866,7,70,120,87.1,1866
1867,7,70,110,87.1,1867
1868,3,90,90,90.0,1868
1869,7,70,100,85.7,1869
1870,10,70,110,84.0,1870
1871,6,70,100,83.3,1871
1872,4,70,90,75.0,1872
1873,3,70,100,90.0,1873
1874,4,70,90,80.0,1874
1875,5,70,100,80.0,1875
1876,4,80,100,92.5,1876
1877,3,70,100,80.0,1877
1878,10,70,120,87.0,1878
1879,6,70,110,88.3,1879
1880,9,70,130,88.9,1880
1881,4,70,90,82.5,1881
1882,5,70,120,90.0,1882
1883,3,80,110,100.0,1883
1884,4,70,100,85.0,1884
1885,6,70,100,80.0,1885
1886,10,75,135,94.5,1886
1887,11,70,110,84.1,1887
1888,6,70,110,90.0,1888
1889,6,65,95,76.7,1889
1890,2,80,105,92.5,1890
1891,7,65,110,83.6,1891
1892,5,65,85,80.0,1892
1893,10,65,115,93.5,1893
1894,5,95,115,104.0,1894
1895,2,90,95,92.5,1895
1896,6,85,110,91.7,1896
1897,3,70,85,76.7,1897
1898,5,70,115,85.0,1898
1899,5,85,130,101.0,1899
1900,3,85,125,105.0,1900
1901,5,70,90,76.0,1901
1902,3,70,90,81.7,1902
1903,7,70,105,84.3,1903
1904,3,70,75,71.7,1904
1905,1,105,105,105.0,1905
1906,6,70,115,94.2,1906
1907,0,,,,1907
1908,6,65,105,85.0,1908
1909,6,85,105,98.3,1909
1910,3,85,130,103.3,1910
1911,3,70,85,80.0,1911
1912,4,80,100,86.3,1912
1913,4,65,75,67.5,1913
1914,0,,,,1914
1915,5,65,125,99.0,1915
1916,10,70,115,95.5,1916
1917,2,105,130,117.5,1917
1918,4,65,105,88.8,1918
1919,2,85,130,107.5,1919
1920,4,75,95,82.5,1920
1921,4,70,120,95.0,1921
1922,2,85,130,107.5,1922
1923,3,85,105,93.3,1923
1924,5,70,115,93.0,1924
1925,1,85,85,85.0,1925
1926,8,90,130,109.4,1926
1927,4,70,105,92.5,1927
1928,4,70,140,91.3,1928
1929,3,75,120,91.7,1929
1930,2,95,130,112.5,1930
1931,2,85,110,97.5,1931
1932,6,70,140,106.7,1932
1933,10,75,130,99.5,1933
1934,6,65,85,75.0,1934
1935,5,70,140,99.0,1935
1936,7,70,105,83.6,1936
1937,3,85,95,88.3,1937
1938,3,85,140,103.3,1938
1939,3,70,115,88.3,1939
1940,4,70,85,76.3,1940
1941,4,70,105,90.0,1941
1942,4,70,100,87.5,1942
1943,5,75,120,96.0,1943
1944,7,70,120,92.1,1944
1945,5,85,120,102.0,1945
1946,3,70,115,90.0,1946
1947,5,70,140,97.0,1947
1948,6,70,115,96.7,1948
1949,7,70,130,99.3,1949
1950,11,80,160,108.6,1950
1951,8,70,140,98.8,1951
1952,6,75,130,100.0,1952
1953,6,70,130,102.5,1953
1954,8,65,120,85.6,1954
1955,9,80,150,105.6,1955
1956,4,70,120,93.8,1956
1957,3,70,135,110.0,1957
1958,7,80,140,105.7,1958
1959,7,65,120,82.1,1959
1960,4,80,140,111.3,1960
1961,8,70,150,115.0,1961
1962,3,85,100,93.3,1962
1963,7,65,125,90.7,1963
1964,6,100,135,119.2,1964
1965,4,70,135,92.5,1965
1966,7,65,130,90.0,1966
1967,6,75,140,90.0,1967
1968,4,65,75,68.8,1968
1969,12,65,165,93.3,1969
1970,5,65,110,89.0,1970
1971,6,70,140,89.2,1971
1972,3,70,90,78.3,1972
1973,4,70,100,82.5,1973
1974,4,65,130,97.5,1974
1975,6,75,120,98.3,1975
1976,6,65,105,88.3,1976
1977,5,65,150,85.0,1977
1978,5,70,120,94.0,1978
1979,5,65,150,98.0,1979
1980,9,65,165,89.4,1980
1981,7,70,115,90.7,1981
1982,2,75,115,95.0,1982
1983,3,65,100,78.3,1983
1984,5,65,115,84.0,1984
1985,7,65,125,90.7,1985
1986,4,70,90,77.5,1986
1987,3,65,110,80.0,1987
1988,5,65,160,109.0,1988
1989,7,70,140,95.0,1989
1990,8,65,105,78.8,1990
1991,4,65,115,91.3,1991
1992,4,75,150,103.8,1992
1993,4,65,100,80.0,1993
1994,3,70,95,80.0,1994
1995,11,65,130,95.0,1995
1996,9,65,125,95.0,1996
1997,3,65,110,81.7,1997
1998,10,65,155,96.5,1998
1999,8,85,135,114.4,1999
2000,8,70,120,91.3,2000
2001,9,65,125,91.7,2001
2002,4,75,125,98.8,2002
2003,7,65,145,96.4,2003
2004,9,65,145,106.1,2004
2005,15,65,160,101.7,2005
2006,5,65,105,86.0,2006
2007,6,65,150,98.3,2007
