"Date","Primary","Secondary","Total","Time","Year"
4383,625000,452000,1077000,3,NA
4749,633000,489000,1122000,4,NA
5114,620000,545000,1165000,5,NA
5479,579000,512000,1091000,6,NA
5844,596000,564000,1160000,7,NA
6210,552000,637000,1189000,8,NA
6575,568000,650000,1218000,9,NA
6940,578000,673000,1251000,10,NA
7305,548000,581000,1129000,11,NA
7671,498000,578000,1076000,12,NA
8036,517000,521000,1038000,13,NA
8401,515000,452000,967000,14,NA
8766,389000,586000,975000,15,NA
9132,494000,570000,1064000,16,NA
9497,370000,575000,945000,17,NA
9862,373000,658000,1031000,18,NA
10227,392000,691000,1083000,19,NA
10593,396000,842000,1238000,20,NA
10958,404000,874000,1278000,21,NA
11323,346000,830000,1176000,22,NA
11688,305000,861000,1166000,23,NA
12054,335000,838000,1173000,24,NA
12419,351000,877000,1228000,25,NA
12784,374000,963000,1337000,26,NA
13149,326000,1030000,1356000,27,NA
13515,343000,1040000,1383000,28,NA
13880,337000,1060000,1397000,29,NA
14245,350000,1060000,1410000,30,NA
14610,341000,1080000,1421000,31,NA
14976,290000,1040000,1330000,32,NA
15341,262000,1070000,1332000,33,NA
15706,NA,NA,NA,34,NA
16071,NA,NA,NA,35,NA
16437,NA,NA,NA,36,NA
16802,NA,NA,NA,37,NA
17167,NA,NA,NA,38,NA
17532,NA,NA,NA,39,NA
17898,NA,NA,NA,40,NA
18263,NA,NA,NA,41,NA
18628,NA,NA,NA,42,NA
18993,NA,NA,NA,43,NA
19359,NA,NA,NA,44,NA
19724,NA,NA,NA,45,NA
20089,NA,NA,NA,46,NA
20454,NA,NA,NA,47,NA
20820,NA,NA,NA,48,NA
21185,NA,NA,NA,49,NA
21550,NA,NA,NA,50,NA
21915,NA,NA,NA,51,NA
22281,NA,NA,NA,52,NA
22646,NA,NA,NA,53,NA
23011,NA,NA,NA,54,NA
23376,NA,NA,NA,55,NA
23742,NA,NA,NA,56,NA
24107,NA,NA,NA,57,NA
24472,NA,NA,NA,58,NA
24837,NA,NA,NA,59,NA
25203,NA,NA,NA,60,NA
25568,NA,NA,NA,61,NA
25933,NA,NA,NA,62,NA
26298,NA,NA,NA,63,NA
26664,NA,NA,NA,64,NA
27029,NA,NA,NA,65,NA
27394,NA,NA,NA,66,NA
27759,NA,NA,NA,67,NA
28125,NA,NA,NA,68,NA
28490,NA,NA,NA,69,NA
28855,NA,NA,NA,70,NA
29220,NA,NA,NA,71,NA
29586,NA,NA,NA,72,NA
29951,NA,NA,NA,73,NA
